BuyLimit,2,25,11
BuyLimit,3,21,14
BuyLimit,4,17,18
BuyLimit,5,19,19
BuyLimit,6,46,20
BuyLimit,7,12,21
BuyLimit,8,15,22
BuyLimit,9,47,23
BuyLimit,10,34,24
BuyLimit,11,17,25
BuyLimit,12,25,26
BuyLimit,13,33,27
BuyLimit,14,37,28
BuyLimit,15,20,29
BuyLimit,16,36,30
BuyLimit,17,3,31
BuyLimit,18,42,31
BuyLimit,19,6,32
BuyLimit,20,6,32
BuyLimit,21,21,33
BuyLimit,22,23,34
BuyLimit,23,44,35
BuyLimit,24,23,36
BuyLimit,25,9,37
BuyLimit,26,34,37
BuyLimit,27,48,38
BuyLimit,28,13,39
BuyLimit,29,14,39
BuyLimit,30,29,39
BuyLimit,31,42,40
BuyLimit,32,37,41
BuyLimit,33,24,42
BuyLimit,34,4,42
BuyLimit,35,15,43
BuyLimit,36,17,43
BuyLimit,37,21,44
BuyLimit,38,5,44
BuyLimit,39,43,44
BuyLimit,40,10,45
BuyLimit,41,27,45
BuyLimit,42,38,45
BuyLimit,43,45,46
BuyLimit,44,49,47
BuyLimit,45,10,48
BuyLimit,46,36,48
BuyLimit,47,49,49
SellLimit,48,35,50
SellLimit,49,36,50
SellLimit,50,3,51
SellLimit,51,41,51
SellLimit,52,19,52
SellLimit,53,6,52
SellLimit,54,25,52
SellLimit,55,19,53
SellLimit,56,21,53
SellLimit,57,20,54
SellLimit,58,49,54
SellLimit,59,43,55
SellLimit,60,24,56
SellLimit,61,20,57
SellLimit,62,17,58
SellLimit,63,13,58
SellLimit,64,12,59
SellLimit,65,1,59
SellLimit,66,33,59
SellLimit,67,42,60
SellLimit,68,19,61
SellLimit,69,21,61
SellLimit,70,5,62
SellLimit,71,30,62
SellLimit,72,41,63
SellLimit,73,26,64
SellLimit,74,16,65
SellLimit,75,35,65
SellLimit,76,45,66
SellLimit,77,29,67
SellLimit,78,26,68
SellLimit,79,20,69
SellLimit,80,28,70
SellLimit,81,21,71
SellLimit,82,40,72
SellLimit,83,9,73
SellLimit,84,3,74
SellLimit,85,34,75
SellLimit,86,16,76
SellLimit,87,21,77
SellLimit,88,2,78
SellLimit,89,4,79
SellLimit,90,12,80
SellLimit,91,19,83
SellLimit,92,2,95
BuyLimit,93,36,48
BuyLimit,94,15,49
BuyMarket,95,46,0
SellLimit,96,34,50
SellMarket,97,158,0
BuyLimit,98,5,48
BuyLimit,99,8,49
SellLimit,100,40,53
SellLimit,101,2,49
BuyLimit,102,14,48
BuyMarket,103,27,0
BuyMarket,104,9,0
BuyLimit,105,30,29
BuyLimit,106,15,49
BuyLimit,107,2,48
BuyLimit,108,5,36
BuyLimit,109,18,48
SellLimit,110,47,52
BuyMarket,111,16,0
BuyMarket,112,40,0
BuyLimit,113,29,50
BuyLimit,114,46,51
SellLimit,115,9,51
BuyLimit,116,47,51
SellMarket,117,41,0
BuyMarket,118,45,0
SellLimit,119,50,51
BuyLimit,120,26,51
SellLimit,121,41,51
SellLimit,122,20,52
SellMarket,123,18,0
BuyLimit,124,47,50
SellLimit,125,35,51
SellLimit,126,40,50
SellLimit,127,38,50
BuyMarket,128,179,0
BuyMarket,129,241,0
SellLimit,130,27,57
BuyMarket,131,11,0
BuyLimit,132,7,44
BuyLimit,133,4,56
SellLimit,134,10,56
BuyLimit,135,41,56
BuyLimit,136,31,56
BuyLimit,137,26,57
BuyLimit,138,45,49
BuyLimit,139,22,57
SellLimit,140,7,57
SellLimit,141,45,57
SellLimit,142,15,58
SellMarket,143,65,0
BuyMarket,144,11,0
BuyLimit,145,4,56
BuyLimit,146,49,53
BuyLimit,147,45,56
BuyLimit,148,27,57
SellLimit,149,49,57
SellLimit,150,14,90
BuyLimit,151,37,39
SellLimit,152,21,56
SellLimit,153,17,56
BuyMarket,154,39,0
SellLimit,155,4,56
BuyMarket,156,6,0
BuyMarket,157,27,0
BuyMarket,158,11,0
SellMarket,159,42,0
BuyLimit,160,13,41
SellLimit,161,37,57
BuyMarket,162,22,0
BuyLimit,163,41,37
BuyLimit,164,2,49
SellLimit,165,43,89
SellMarket,166,30,0
SellMarket,167,32,0
BuyLimit,168,40,54
SellMarket,169,43,0
SellLimit,170,37,61
BuyLimit,171,7,54
BuyLimit,172,29,55
SellMarket,173,50,0
SellLimit,174,49,52
BuyLimit,175,25,50
BuyMarket,176,12,0
SellLimit,177,41,51
BuyLimit,178,19,50
BuyMarket,179,27,0
BuyLimit,180,2,51
BuyLimit,181,34,51
SellLimit,182,8,51
SellLimit,183,21,55
BuyLimit,184,22,51
SellLimit,185,17,54
BuyMarket,186,29,0
SellLimit,187,5,52
SellMarket,188,47,0
BuyMarket,189,10,0
SellMarket,190,48,0
SellLimit,191,20,52
